fid,genus,species,cultivar,dbh,street,park,id,fullname,Site_1,Present,dbh_2025,height2025,Measured,Comments,Measured_height,Measured_DBH
228565,Acer,platanoides,deborah,16,Boulevard de Maisonneuve Ouest,,"245963",Acer platanoides,LOYO-2,Present,"39.9",12.8,Measured,,true,true
228566,Acer,platanoides,deborah,17,Boulevard de Maisonneuve Ouest,,"245964",Acer platanoides,LOYO-2,Present,"39.8",12.8,Measured,,true,true
233372,Gleditsia,triacanthos,,9,Rue Sherbrooke Ouest,,"251111",Gleditsia triacanthos,VANI-1,Present,"17.15",11.2,,,true,true
233403,Acer,platanoides,,43,Rue Sherbrooke Ouest,,"251142",Acer platanoides,VANI-1,Present,"44.1",11.7,Measured,,true,true
233404,Quercus,rubra,,13,Rue Sherbrooke Ouest,,"251143",Quercus rubra,VANI-1,Present,"14.8",6,Measured,,true,true
233405,Acer,platanoides,,48,Rue Sherbrooke Ouest,,"251144",Acer platanoides,VANI-1,Present,"49.1",13.2,Measured,,true,true
233414,Quercus,rubra,,30,Rue Sherbrooke Ouest,,"251153",Quercus rubra,VANI-1,Present,"31.5",11.1,Measured,,true,true
233416,Quercus,rubra,,32,Rue Sherbrooke Ouest,,"251155",Quercus rubra,VANI-1,Present,"34.6",10,Measured,,true,true
233417,Quercus,rubra,,41,Rue Sherbrooke Ouest,,"251156",Quercus rubra,VANI-1,Present,"42.8",12,Measured,,true,true
233418,Quercus,rubra,,40,Rue Sherbrooke Ouest,,"251157",Quercus rubra,VANI-1,Present,"42.8",11.3,Measured,,true,true
233548,Quercus,rubra,,11,Rue Sherbrooke Ouest,,"251296",Quercus rubra,VANI-1,Present,"27.9",10.8,Measured,,true,true
233549,Quercus,rubra,,31,Rue Sherbrooke Ouest,,"251297",Quercus rubra,VANI-1,Present,"32.5",10,Measured,,true,true
301075,Ulmus,x hollandica,pioneer,5,,"PELICAN, LE","19052",Ulmus x hollandica,(PELI-1),,,,,,,
301285,Acer,x freemanii,armstrong,5,,"PELICAN, LE","28054",Acer x freemanii,(PELI-1),,,,,,,
301349,Ulmus,x morton,stalwart,5,,PÈRE MARQUETTE,"30022",Ulmus davidiana,MARQ-1,Present,"12.65",8,,,true,true
301448,Magnolia,x loebneri,leonard,5,,PÈRE MARQUETTE,"31566",Magnolia x loebneri,MARQ-1,Absent,,,,,,
301890,Ulmus,x morton,(accolade,20,,SIR-WILFRID-LAURIER,"47171",Ulmus davidiana,WILF-1,Present,"30.9",14,,,true,true
301891,Ulmus,x morton,(accolade,26,,SIR-WILFRID-LAURIER,"47172",Ulmus davidiana,WILF-1,Present,"28.6",13,,,true,true
301892,Ulmus,x morton,(accolade,25,,SIR-WILFRID-LAURIER,"47173",Ulmus davidiana,WILF-1,Present,"27.4",13.6,,,true,true
301893,Ulmus,x morton,(accolade,27,,SIR-WILFRID-LAURIER,"47174",Ulmus davidiana,WILF-1,Present,"32.4",15.4,,,true,true
301894,Ulmus,x morton,(accolade,18,,SIR-WILFRID-LAURIER,"47175",Ulmus davidiana,WILF-1,Present,"26.9",13.8,,,true,true
301895,Ulmus,x morton,(accolade,21,,SIR-WILFRID-LAURIER,"47176",Ulmus davidiana,WILF-1,Present,"33.4",15.2,,,true,true
301897,Ulmus,x homestead,,5,,SIR-WILFRID-LAURIER,"47641",Ulmus pumila,WILF-1,Present,"9.7,6.3,3",4.3,,Looks like theres 2 trees in the planter with smaller leaves but also id-ed as same spp.,true,true
301898,Ulmus,x homestead,,8,,SIR-WILFRID-LAURIER,"47642",Ulmus pumila,WILF-1,Present,"14.3",8.7,,,true,true
301899,Ulmus,x hollandica,pioneer,11,,SIR-WILFRID-LAURIER,"47643",Ulmus x hollandica,WILF-1,Present,"25.5",10.3,,,true,true
301920,Acer,x freemanii,autumn,6,,SIR-WILFRID-LAURIER,"47815",Acer x freemanii,WILF-2,Present,"12.6",7.7,,,true,true
301921,Acer,x freemanii,autumn,9,,SIR-WILFRID-LAURIER,"47816",Acer x freemanii,WILF-2,Present,"12.7",8.3,,,true,true
310207,Ulmus,x morton,(accolade,15,Rue Garnier,,"172275",Ulmus davidiana,MARQ-1,Present,"16.5",8.2,,,true,true
310208,Ulmus,x morton,(accolade,9,Rue Garnier,,"172277",Ulmus davidiana,MARQ-1,Present,"23.9",11.4,,,true,true
310209,,,,,,,,,,,,,,,,
310210,,,,,,,,,,,,,,,,
