fid,genus,species,cultivar,dbh,street,park,id,fullname,Site_1,Present,dbh_2025,height2025,Measured,Comments,Measured_height,Measured_DBH
26875,Acer,platanoides,,29,,"PELICAN, LE","28013",Acer platanoides,(PELI-1),,,,,,,
26876,Tilia,cordata,,70,,"PELICAN, LE","28014",Tilia cordata,(PELI-1),,,,,,,
26893,Gleditsia,triacanthos,,13,,"PELICAN, LE","28031",Gleditsia triacanthos,(PELI-2),,,,,,,
26895,Quercus,macrocarpa,,45,,"PELICAN, LE","28033",Quercus macrocarpa,(PELI-2),,,,,,,
26896,Acer,saccharinum,,69,,"PELICAN, LE","28034",Acer saccharinum,(PELI-2),,,,,,,
26897,Acer,platanoides,,57,,"PELICAN, LE","28035",Acer platanoides,(PELI-2),,,,,,,
26898,Gleditsia,triacanthos,,49,,"PELICAN, LE","28036",Gleditsia triacanthos,(PELI-2),,,,,,,
26899,Gleditsia,triacanthos,,53,,"PELICAN, LE","28037",Gleditsia triacanthos,(PELI-2),,,,,,,
26900,Gleditsia,triacanthos,,49,,"PELICAN, LE","28038",Gleditsia triacanthos,(PELI-2),,,,,,,
26901,Gleditsia,triacanthos,,24,,"PELICAN, LE","28039",Gleditsia triacanthos,(PELI-2),,,,,,,
