fid,id,Site,dbh_2025,height2025,Species,Comments,lat,lon,Source,Measured_height,Measured_DBH,species_clean
67,,VANI-1,"1.65",3.04,(PRVI),,,,Soverdi,true,true,Prunus virginiana
68,,VANI-1,"3.3,1,1,1",4.3,(PODE),,,,Soverdi,true,true,Populus deltoides
69,,VANI-1,"1.1, 0.7,0.7,0.5",2.04,(ACRU),Sad leaves ,,,Soverdi,true,true,Acer rubrum
70,,VANI-1,"1.3",2.3,(QUBI),,,,Soverdi,true,true,Quercus bicolor
71,,VANI-1,"3.4,0.5,0.5,1.3",4.8,(PODE),,,,Soverdi,true,true,Populus deltoides
72,,VANI-1,"1.3",2.08,(ACPE),,,,Soverdi,true,true,Acer pensylvanicum
73,,VANI-1,"2.4",3.04,(BEPA),Sad leaves,,,Soverdi,true,true,Betula papyrifera
74,,VANI-1,"1",2.2,(ACPE),,,,Soverdi,true,true,Acer pensylvanicum
75,,VANI-1,"1",2.5,Sorbus aucuparia,,,,Soverdi,true,true,Sorbus aucuparia
76,,VANI-1,"3,1.3,1.3,0.8,1,1",5,(PODE),,,,Soverdi,true,true,Populus deltoides
77,,VANI-1,"2.6",3.04,(PRSE),,,,Soverdi,true,true,Prunus serotina
78,,VANI-1,"1.5",2.3,(CEOC),,,,Soverdi,true,true,Celtis occidentalis
79,,VANI-1,"1.8",2.28,(ACRU),,,,Soverdi,true,true,Acer rubrum
80,,VANI-1,"1.6,0.9,0.9",2.55,(CEOC),,,,Soverdi,true,true,Celtis occidentalis
81,,VANI-1,"2.5,1.3,1.3,1,1",3.2,(BEPA),,,,Soverdi,true,true,Betula papyrifera
82,,VANI-1,"0.8,0.4",2.1,Sorbus aucuparia,,,,Soverdi,true,true,Sorbus aucuparia
83,,VANI-1,"2.5",3.05,(BEPA),,,,Soverdi,,,Betula papyrifera
84,,VANI-1,"2.65",2.75,(PRSE),,,,Soverdi,true,true,Prunus serotina
85,,VANI-1,"0.8",2.02,(OSVI),,,,Soverdi,true,true,Ostrya virginiana
86,,VANI-1,"1.4",2.15,(ACRU),,,,Soverdi,true,true,Acer rubrum
87,,VANI-1,"0.8",2.05,(CACA),,,,Soverdi,true,true,Carpinus caroliniana
88,,VANI-1,"2.2",2.7,(CEOC),,,,Soverdi,true,true,Celtis occidentalis
89,,LOYO-2,"78.5",34.2,Acer saccharinum,City tree (?),,,Unknown,true,true,
90,,LOYO-2,"10.5",5.8,(Ulmus pumila ),Not in city inventory,,,Unknown,true,true,
91,,LOYO-2,"10",4.5,Acer negundo,,,,Unknown,false,false,
92,,LOYO-2,,,Acer negundo,Estimated DBH but not height ,,,Unknown,true,false,
94,,LOYO-1,"5",2,(Celtics occidentalis),,,,Soverdi,true,true,Celtics occidentalis
95,,LOYO-1,"8.1, 2.6",5.7,(Populous deltoides),,,,Soverdi,true,true,Populus deltoides
96,,LOYO-1,"3",2,Quercus rubra,,,,Soverdi,true,true,Quercus rubra
99,,LOYO-1,"1.5,1.5",2.2,Gymnocladus dioicus,,,,Soverdi,true,true,Gymnocladus dioicus
