fid,idvegetal,projet,site,entiteadmi,reseau,noevenemen,typeevenem,annee,dateprevue,genre,nomespece,cultivar,dhs,hauteur,formatpot,lat,lon,Present,Site_1,dbh_2025,height2025,Comments,Measured_height,Measured_DBH
"1","48562",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2021-1423-22032000000,plantation,"2021",2021-09-12T20:00:00.000,Populus,deltoides,,"0","200",5gal,"45.457824399","-73.635051527",Absent,LOYO-1,,,,,
"2","61616",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Acer,saccharinum,,"0","170",5gal,"45.458011402","-73.635082709",Present,LOYO-1,"4.5",5.5,,"1","1"
"3","61989",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Quercus,rubra,,"0","250",7gal,"45.458118605","-73.635018215",Absent,LOYO-1,,,,,
"4","62263",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Pinus,banksiana,,"30","200",3g,"45.457931905","-73.634482286",Present,LOYO-1,"2.5",2.7,,"1","1"
"5","62946",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Amelanchier,canadensis,,"0","180",5gal,"45.457882369","-73.63479499",Absent,LOYO-1,,,,,
"6","63083",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Amelanchier,canadensis,,"0","180",5gal,"45.457905394","-73.634475544",Absent,LOYO-1,,,,,
"7","63257",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Gymnocladus,dioicus,,"0","175",7gal,"45.457731757","-73.635030013",Present,LOYO-1,"4.8",2.3,,"1","1"
"8","65343",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Pinus,banksiana,,"30","200",3g,"45.457944733","-73.634777581",Absent,LOYO-1,,,,,
"9","66087",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Gymnocladus,dioicus,,"0","175",7gal,"45.457979087","-73.635046455",Absent,LOYO-1,,,,,
"10","66640",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Quercus,rubra,,"0","250",7gal,"45.457913049","-73.634395673",Absent,LOYO-1,,,,,
"11","66976",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Cornus,alternifolia,,"0","175",3g,"45.457792449","-73.634980314",Absent,LOYO-1,,,,,
"12","69297",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Cornus,alternifolia,,"0","175",3g,"45.457818574","-73.635026689",Absent,LOYO-1,,,,,
"13","69324",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Betula,alleghaniensis,,"0","175",5gal,"45.4579179","-73.634766178",Absent,LOYO-1,,,,,
"14","69366",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Quercus,rubra,,"0","250",7gal,"45.457878859","-73.634623094",Present,LOYO-1,"3.45",3.1,,"1","1"
"15","70525",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Ostrya,virginiana,,"0","200",5gal,"45.457759988","-73.634897334",Absent,LOYO-1,,,,,
"16","71103",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Carpinus,caroliniana,,"0","200",5gal,"45.458010154","-73.634976827",Absent,LOYO-1,,,,,
"17","72389",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2020-1423-22809600000,plantation,"2020",2020-09-20T20:00:00.000,Cornus,alternifolia,,"0","175",3g,"45.457684263","-73.635027126",Absent,LOYO-1,,,,,
"18","73657",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,pensylvanicum,,"30","200",7gal,"45.457794046","-73.635086436",Absent,LOYO-1,,,,,
"19","73920",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharum,,"30","350",7gal,"45.457790963","-73.634929354",Present,LOYO-1,"5.8",3,,"1","1"
"20","74113",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,pensylvanicum,,"30","200",7gal,"45.457956966","-73.634551638",Present,LOYO-1,"4.9",2.4,,"1","1"
"21","74399",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.457684232","-73.635027131",Absent,LOYO-1,,,,,
"22","74425",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.457792835","-73.63498025",Present,LOYO-1,"5",3.1,,"1","1"
"23","74524",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juglans,cinerea,,"35","200",10gal,"45.457612612","-73.635125439",Absent,LOYO-1,,,,,
"24","74545",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.457818211","-73.635026714",Present,LOYO-1,"6.4, 4.8, 3.8",3.7,,"1","1"
"25","74552",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Rhus,typhina,,"0","175",7gal,"45.457970926","-73.63458329",Absent,LOYO-1,,,,,
"26","74902",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.457883618","-73.634699898",Present,LOYO-1,"4.7",2.3,,"1","1"
"27","74930",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457641539","-73.63504694",Absent,LOYO-1,,,,,
"28","74955",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Abies,balsamea,,"40","175",7gal,"45.457787721","-73.635036618",Present,LOYO-1,"4.3",2.2,,"1","1"
"29","75355",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457673803","-73.634977736",Absent,LOYO-1,,,,,
"30","75437",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juniperus,virginiana,,"15","125",5g,"45.457945463","-73.634777628",Absent,LOYO-1,,,,,
"31","75538",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Rhus,typhina,,"0","175",7gal,"45.45798976","-73.634602257",Absent,LOYO-1,,,,,
"32","75583",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Pinus,banksiana,,"30","175",7gal,"45.457755206","-73.635091163",Absent,LOYO-1,,,,,
"33","75754",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,papyrifera,,"30","300",10gal,"45.457895331","-73.63443611",Present,LOYO-1,"7.6",4.6,,"1","1"
"34","75979",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharum,,"30","350",7gal,"45.457846013","-73.63468268",Present,LOYO-1,"7",4.2,,"1","1"
"35","76071",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Larix,laricina,,"15","175",7gal,"45.457938347","-73.634569456",Present,LOYO-1,"17.7, 3.5,2.9",7.6,,"1","1"
"36","76100",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Populus,deltoides,SIOUXLAND,"30","250",10gal,"45.457765701","-73.634986341",Present,LOYO-1,"4.7",3.5,,"1","1"
"37","76227",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.45787945","-73.63462328",Present,LOYO-1,"4,7",2.4,,,
"38","76285",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juniperus,virginiana,,"35","200",15g,"45.457716618","-73.635094197",Absent,LOYO-1,,,,,
"39","76730",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","175",10gal,"45.458065326","-73.634791797",Absent,LOYO-1,,,,,
"40","76775",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juniperus,virginiana,,"15","125",5g,"45.458088282","-73.635116917",Absent,LOYO-1,,,,,
"41","76818",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,alleghaniensis,,"40","200",10gal,"45.457687176","-73.635085705",Absent,LOYO-1,,,,,
"42","76831",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,pensylvanicum,,"30","200",7gal,"45.457950298","-73.635055629",Absent,LOYO-1,,,,,
"43","76874",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Pinus,strobus,,"0","100",5gal,"45.457952518","-73.634834677",Present,LOYO-1,"12.1, 7.9",7.8,,,
"44","77104",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Populus,deltoides,SIOUXLAND,"30","250",10gal,"45.457816046","-73.635089821",Present,LOYO-1,"7.2",4.7,,"1","1"
"45","77110",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharinum,,"30","300",7gal,"45.457822992","-73.634978953",Absent,LOYO-1,,,,,
"46","77286",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,alleghaniensis,,"40","200",10gal,"45.458096779","-73.635066423",Absent,LOYO-1,,,,,
"47","77407",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,papyrifera,,"30","300",10gal,"45.457918077","-73.634766264",Absent,LOYO-1,,,,,
"48","77455",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457913045","-73.634395451",Present,LOYO-1,"6.5",4.3,,"1","1"
"49","78065",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharinum,,"30","300",7gal,"45.457821882","-73.634741875",Absent,LOYO-1,,,,,
"50","78214",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457920689","-73.634606531",Present,LOYO-1,"8.3",3.8,,"1","1"
"51","78395",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,rubra,,"35","300",10gal,"45.457721532","-73.634965051",Present,LOYO-1,"10.1,12.4",7.6,,,
"52","78563",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Populus,deltoides,SIOUXLAND,"30","250",10gal,"45.457867574","-73.634736772",Absent,LOYO-1,,,,,
"53","78566",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457858483","-73.63483328",Present,LOYO-1,"4.9",2.1,,"1","1"
"54","78597",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Tilia,americana,,"35","300",racines nues,"45.457934527","-73.634505098",Present,LOYO-1,"3.1",2,,"1","1"
"55","78608",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Amelanchier,canadensis,,"30","300",12gal,"45.457854681","-73.63510275",Present,LOYO-1,"10.1,8.4",7.8,,"1","1"
"56","78677",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Populus,deltoides,SIOUXLAND,"30","250",10gal,"45.457956671","-73.634895975",Absent,LOYO-1,,,,,
"57","78931",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.458054684","-73.634756546",Absent,LOYO-1,,,,,
"58","79055",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.458013763","-73.634830481",Present,LOYO-1,"5.2",3.5,,"1","1"
"59","79100",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharinum,,"30","300",7gal,"45.458024117","-73.63477916",Present,LOYO-1,"10.3",7,,"1","1"
"60","79194",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Carya,cordiformis,,"30","200",10gal,"45.457732171","-73.635030622",Present,LOYO-1,"8.4",5.5,,"1","1"
"61","79198",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Populus,deltoides,SIOUXLAND,"30","250",10gal,"45.458013176","-73.634877345",Absent,LOYO-1,,,,,
"62","79217",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Populus,deltoides,SIOUXLAND,"30","250",10gal,"45.458032707","-73.635004577",Absent,LOYO-1,,,,,
"63","79519",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","200",10gal,"45.457875437","-73.635065046",Absent,LOYO-1,,,,,
"64","79567",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,pensylvanicum,,"30","200",7gal,"45.458011022","-73.635082233",Absent,LOYO-1,,,,,
"65","79578",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Tilia,americana,,"35","300",racines nues,"45.457956216","-73.634727296",Present,LOYO-1,"7.2",3,,"1","1"
"66","79952",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juniperus,virginiana,,"15","125",5g,"45.45813901","-73.635089548",Absent,LOYO-1,,,,,
"67","80411",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Ostrya,virginiana,,"35","250",10gal,"45.457911422","-73.634819817",Present,LOYO-1,"6.5",3.9,,"1","1"
"68","80434",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","200",10gal,"45.458029537","-73.63471323",Absent,LOYO-1,,,,,
"69","80481",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Rhus,typhina,,"0","175",7gal,"45.458020138","-73.634666508",Absent,LOYO-1,,,,,
"70","80531",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Tilia,americana,,"35","300",racines nues,"45.457982578","-73.634634931",Absent,LOYO-1,,,,,
"71","80901",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Carpinus,caroliniana,,"50","250",panier de broche,"45.457696527","-73.634931728",Absent,LOYO-1,,,,,
"72","81084",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Pinus,banksiana,,"30","175",7gal,"45.457957959","-73.634604054",Present,LOYO-1,"6",5,,"1","1"
"73","81261",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Carpinus,caroliniana,,"50","250",panier de broche,"45.457882554","-73.63479554",Present,LOYO-1,"5.4",3.3,,"1","1"
"74","81553",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Betula,alleghaniensis,,"40","200",10gal,"45.458066169","-73.635030707",Present,LOYO-1,"6.2",3.8,,"1","1"
"75","81563",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,rubra,,"35","300",10gal,"45.457905062","-73.634531299",Present,LOYO-1,"3.4",2.3,,"1","1"
"76","81646",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.458049655","-73.634960899",Present,LOYO-1,"5.9",3.4,,"1","1"
"77","81672",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Tilia,americana,,"35","300",racines nues,"45.458016901","-73.634696047",Absent,LOYO-1,,,,,
"78","81722",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,rubra,,"35","300",10gal,"45.457853229","-73.6350494",Present,LOYO-1,"5",3.7,,"1","1"
"79","81931",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Tilia,americana,,"35","300",racines nues,"45.457911793","-73.634871125",Absent,LOYO-1,,,,,
"80","82075",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Carpinus,caroliniana,,"30","175",racines nues,"45.457740519","-73.634894602",Absent,LOYO-1,,,,,
"81","82112",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,rubrum,,"40","250",10g,"45.457995118","-73.634718183",Absent,LOYO-1,,,,,
"82","82122",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Ostrya,virginiana,,"35","250",10gal,"45.457760305","-73.634897649",Absent,LOYO-1,,,,,
"83","82144",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Pinus,banksiana,,"30","175",7gal,"45.45798802","-73.634783327",Present,LOYO-1,"5.6",2.8,,"1","1"
"84","82275",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.457960714","-73.635010082",Absent,LOYO-1,,,,,
"85","82461",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Larix,laricina,,"15","175",7gal,"45.458042564","-73.635132783",Present,LOYO-1,"3.9",2.1,,"1","1"
"86","82620",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Tilia,americana,,"35","300",racines nues,"45.458044029","-73.634839188",Absent,LOYO-1,,,,,
"87","82646",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Carpinus,caroliniana,,"50","250",panier de broche,"45.457952536","-73.634962347",Absent,LOYO-1,,,,,
"88","82751",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,rubra,,"35","300",10gal,"45.457891427","-73.635112735",Absent,LOYO-1,,,,,
"89","82767",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Carpinus,caroliniana,,"50","250",panier de broche,"45.458009841","-73.634977077",Absent,LOYO-1,,,,,
"90","82829",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Carpinus,caroliniana,,"30","175",racines nues,"45.457905261","-73.634475227",Absent,LOYO-1,,,,,
"91","82957",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,alba,,"30","250",10gal,"45.458118558","-73.635018048",Absent,LOYO-1,,,,,
"92","83183",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Cornus,alternifolia,,"35","200",10gal,"45.458028426","-73.634737764",Absent,LOYO-1,,,,,
"93","83189",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juglans,cinerea,,"35","200",10gal,"45.457654216","-73.635094934",Present,LOYO-1,"7.7",3.1,,"1","1"
"94","83517",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Amelanchier,canadensis,,"30","300",12gal,"45.457979967","-73.635086105",Absent,LOYO-1,"3.4",3.4,,"1","1"
"95","83543",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Juniperus,virginiana,,"35","200",15g,"45.457930602","-73.634481884",Absent,LOYO-1,,,,,
"96","83556",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Carya,cordiformis,,"30","200",10gal,"45.45792485","-73.634685483",Absent,LOYO-1,,,,,
"97","83601",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,rubra,,"35","300",10gal,"45.457913821","-73.63496139",Absent,LOYO-1,,,,,
"98","83699",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Pinus,strobus,,"0","100",5gal,"45.458004916","-73.635119956",Absent,LOYO-1,,,,,
"99","83973",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Tsuga,canadensis,,"30","200",10gal,"45.457931375","-73.634442759",Absent,LOYO-1,,,,,
"100","83984",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Tilia,americana,,"35","300",racines nues,"45.457978386","-73.63504541",Absent,LOYO-1,,,,,
"101","84062",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Acer,saccharum,,"30","350",7gal,"45.45794219","-73.63463904",Absent,LOYO-1,,,,,
"102","84073",Université Concordia,Campus Loyola,côte-des-neiges-notre-dame-de-grâce,éducation,E2019-1423-26870400000,plantation,"2019",2019-11-07T19:00:00.000,Quercus,rubra,,"35","300",10gal,"45.458001724","-73.634925569",Absent,LOYO-1,,,,,
