"","species_common_name","FR_common"
"1","Northern Cardinal","Cardinal rouge"
"2","Indigo Bunting","Passerin indigo"
"3","Red-eyed Vireo","Viréo aux yeux rouges"
"4","Ring-billed Gull","Goéland à bec cerclé"
"5","American Crow","Corneille d'Amérique"
"6","House Sparrow","Moineau domestique"
"7","Chipping Sparrow","Bruant familier"
"8","Rose-breasted Grosbeak","Cardinal à poitrine rose"
"9","American Goldfinch","Chardonneret jaune"
"10","European Starling","Étourneau sansonnet"
"11","Cedar Waxwing","Jaseur d'Amérique"
"12","American Redstart","Paruline flamboyante"
"13","American Robin","Merle d'Amérique"
"14","Chimney Swift","Martinet ramoneur"
"15","Baltimore Oriole","Oriole de Baltimore"
"16","Black-capped Chickadee","Mésange à tête noire"
"17","White-breasted Nuthatch","Sittelle à poitrine blanche"
"18","Hairy Woodpecker","Pic chevelu"
"19","Song Sparrow","Bruant chanteur"
"20","Downy Woodpecker","Pic mineur"
"21","Ovenbird","Paruline couronnée"
