"","species_common_name","FR_common"
"1","Northern Cardinal","Cardinal rouge"
"2","Blue Jay","Geai bleu"
"3","Red-eyed Vireo","Viréo aux yeux rouges"
"4","Magnolia Warbler","Paruline à tête cendrée"
"5","Northern Flicker","Pic flamboyant"
"6","European Starling","Étourneau sansonnet"
"7","Ring-billed Gull","Goéland à bec cerclé"
"8","House Sparrow","Moineau domestique"
"9","Black-capped Chickadee","Mésange à tête noire"
"10","Warbling Vireo","Viréo mélodieux"
"11","Yellow Warbler","Paruline jaune"
"12","Eastern Wood-Pewee","Pioui de l'est"
"13","Red-breasted Nuthatch","Sittelle à poitrine rousse"
"14","Golden-crowned Kinglet","Roitelet à couronne dorée"
"15","Pine Siskin","Tarin des pins"
"16","American Goldfinch","Chardonneret jaune"
"17","Eastern Phoebe","Moucherolle phébi"
"18","American Robin","Merle d'Amérique"
"19","Yellow-rumped Warbler","Paruline à croupion jaune"
"20","Cedar Waxwing","Jaseur d'Amérique"
"21","House Finch","Roselin familier"
"22","American Crow","Corneille d'Amérique"
"23","Chipping Sparrow","Bruant familier"
"24","Chimney Swift","Martinet ramoneur"
"25","Red-winged Blackbird","Carouge à épaulettes"
"26","Common Grackle","Quiscale bronzé"
"27","Great Crested Flycatcher","Tyran huppé"
"28","Canada Goose","Bernache du Canada"
"29","Downy Woodpecker","Pic mineur"
"30","Song Sparrow","Bruant chanteur"
"31","Pileated Woodpecker","Grand pic"
"32","American Redstart","Paruline flamboyante"
"33","Hairy Woodpecker","Pic chevelu"
