"","species_common_name","FR_common"
"1","Chipping Sparrow","Bruant familier"
"2","Northern Cardinal","Cardinal rouge"
"3","Blue-headed Vireo","Viréo à tête bleue"
"4","Warbling Vireo","Viréo mélodieux"
"5","Yellow-rumped Warbler","Paruline à croupion jaune"
"6","House Finch","Roselin familier"
"7","Indigo Bunting","Passerin indigo"
"8","Swainson's Thrush","Grive à dos olive"
"9","Blue Jay","Geai bleu"
"10","Downy Woodpecker","Pic mineur"
"11","Ring-billed Gull","Goéland à bec cerclé"
"12","Yellow Warbler","Paruline jaune"
"13","Blackburnian Warbler","Paruline à gorge orangée"
"14","Purple Finch","Roselin pourpré"
"15","Tennessee Warbler","Paruline obscure"
"16","American Robin","Merle d'Amérique"
"17","Red-eyed Vireo","Viréo aux yeux rouges"
"18","White-breasted Nuthatch","Sittelle à poitrine blanche"
"19","Northern Flicker","Pic flamboyant"
"20","Bay-breasted Warbler","Paruline à poitrine baie"
"21","European Starling","Étourneau sansonnet"
"22","Cedar Waxwing","Jaseur d'Amérique"
"23","Song Sparrow","Bruant chanteur"
"24","Mallard","Canard colvert"
"25","Chimney Swift","Martinet ramoneur"
"26","Philadelphia Vireo","Viréo de Philadelphie"
"27","Common Nighthawk","Engoulevent d'Amérique"
"28","House Sparrow","Moineau domestique"
"29","Common Raven","Grand corbeau"
"30","Common Grackle","Quiscale bronzé"
"31","American Goldfinch","Chardonneret jaune"
"32","American Redstart","Paruline flamboyante"
"33","American Crow","Corneille d'Amérique"
