"","species_common_name","FR_common"
"1","Canada Goose","Bernache du Canada"
"2","Pine Siskin","Tarin des pins"
"3","Red-eyed Vireo","Viréo aux yeux rouges"
"4","Common Grackle","Quiscale bronzé"
"5","House Sparrow","Moineau domestique"
"6","American Crow","Corneille d'Amérique"
"7","Chipping Sparrow","Bruant familier"
"8","European Starling","Étourneau sansonnet"
"9","American Robin","Merle d'Amérique"
"10","Great Crested Flycatcher","Tyran huppé"
"11","Ring-billed Gull","Goéland à bec cerclé"
"12","Cedar Waxwing","Jaseur d'Amérique"
"13","American Goldfinch","Chardonneret jaune"
"14","Song Sparrow","Bruant chanteur"
"15","Blue Jay","Geai bleu"
"16","Red-winged Blackbird","Carouge à épaulettes"
"17","Northern Flicker","Pic flamboyant"
"18","House Finch","Roselin familier"
"19","Northern Rough-winged Swallow","Hirondelle à ailes hérissées"
"20","Northern Cardinal","Cardinal rouge"
"21","Purple Finch","Roselin pourpré"
"22","Eastern Bluebird","Merlebleu de l'Est"
"23","Chimney Swift","Martinet ramoneur"
"24","Downy Woodpecker","Pic mineur"
"25","Baltimore Oriole","Oriole de Baltimore"
"26","Brown Creeper","Grimpereau brun"
"27","American Redstart","Paruline flamboyante"
"28","White-breasted Nuthatch","Sittelle à poitrine blanche"
"29","Merlin","Faucon émerillon"
"30","Black-capped Chickadee","Mésange à tête noire"
"31","Red-breasted Nuthatch","Sittelle à poitrine rousse"
