"","species_common_name","FR_common"
"1","House Finch","Roselin familier"
"2","House Sparrow","Moineau domestique"
"3","Purple Finch","Roselin pourpré"
"4","Least Flycatcher","Moucherolle tchébec"
"5","American Goldfinch","Chardonneret jaune"
"6","Magnolia Warbler","Paruline à tête cendrée"
"7","American Redstart","Paruline flamboyante"
"8","Chipping Sparrow","Bruant familier"
"9","Bay-breasted Warbler","Paruline à poitrine baie"
"10","Gray Catbird","Moqueur chat"
"11","Ring-billed Gull","Goéland à bec cerclé"
"12","Tennessee Warbler","Paruline obscure"
"13","Red-winged Blackbird","Carouge à épaulettes"
"14","Blue Jay","Geai bleu"
"15","Pine Siskin","Tarin des pins"
"16","Common Yellowthroat","Paruline masquée"
"17","Chimney Swift","Martinet ramoneur"
"18","Yellow Warbler","Paruline jaune"
"19","Red-eyed Vireo","Viréo aux yeux rouges"
"20","European Starling","Étourneau sansonnet"
"21","Great Crested Flycatcher","Tyran huppé"
"22","American Crow","Corneille d'Amérique"
"23","American Robin","Merle d'Amérique"
"24","Song Sparrow","Bruant chanteur"
"25","Northern Cardinal","Cardinal rouge"
"26","White-throated Sparrow","Bruant à gorge blanche"
"27","Black-capped Chickadee","Mésange à tête noire"
"28","Mallard","Canard colvert"
"29","Chestnut-sided Warbler","Paruline à flancs marron"
"30","Cedar Waxwing","Jaseur d'Amérique"
"31","Common Grackle","Quiscale bronzé"
"32","Swainson's Thrush","Grive à dos olive"
"33","Baltimore Oriole","Oriole de Baltimore"
"34","Common Raven","Grand corbeau"
"35","Barn Swallow","Hirondelle rustique Hirondelle de cheminée"
"36","Downy Woodpecker","Pic mineur"
"37","Golden-crowned Kinglet","Roitelet à couronne dorée"
