"","species_common_name","FR_common"
"1","Northern Cardinal","Cardinal rouge"
"2","Tennessee Warbler","Paruline obscure"
"3","Song Sparrow","Bruant chanteur"
"4","American Goldfinch","Chardonneret jaune"
"5","American Robin","Merle d'Amérique"
"6","Black-throated Green Warbler","Paruline à gorge noire"
"7","Chipping Sparrow","Bruant familier"
"8","American Redstart","Paruline flamboyante"
"9","Least Flycatcher","Moucherolle tchébec"
"10","Magnolia Warbler","Paruline à tête cendrée"
"11","Yellow-bellied Flycatcher","Moucherolle à ventre jaune"
"12","Ring-billed Gull","Goéland à bec cerclé"
"13","Warbling Vireo","Viréo mélodieux"
"14","Yellow Warbler","Paruline jaune"
"15","Bay-breasted Warbler","Paruline à poitrine baie"
"16","European Starling","Étourneau sansonnet"
"17","Common Raven","Grand corbeau"
"18","Red-eyed Vireo","Viréo aux yeux rouges"
"19","American Crow","Corneille d'Amérique"
"20","Gray Catbird","Moqueur chat"
"21","Common Nighthawk","Engoulevent d'Amérique"
"22","Mourning Dove","Tourterelle triste"
"23","Chimney Swift","Martinet ramoneur"
"24","Cedar Waxwing","Jaseur d'Amérique"
"25","House Sparrow","Moineau domestique"
"26","Red-winged Blackbird","Carouge à épaulettes"
"27","Downy Woodpecker","Pic mineur"
"28","Eastern Wood-Pewee","Pioui de l'est"
"29","House Finch","Roselin familier"
"30","Black-capped Chickadee","Mésange à tête noire"
"31","Baltimore Oriole","Oriole de Baltimore"
"32","Great Crested Flycatcher","Tyran huppé"
"33","Common Grackle","Quiscale bronzé"
"34","Chestnut-sided Warbler","Paruline à flancs marron"
"35","Indigo Bunting","Passerin indigo"
"36","Brown Creeper","Grimpereau brun"
"37","Evening Grosbeak","Grosbec errant"
