"","species_common_name","FR_common"
"1","Ring-billed Gull","Goéland à bec cerclé"
"2","European Starling","Étourneau sansonnet"
"3","Yellow Warbler","Paruline jaune"
"4","Warbling Vireo","Viréo mélodieux"
"5","Least Flycatcher","Moucherolle tchébec"
"6","Cedar Waxwing","Jaseur d'Amérique"
"7","Red-eyed Vireo","Viréo aux yeux rouges"
"8","Killdeer","Pluvier kildir"
"9","Red-winged Blackbird","Carouge à épaulettes"
"10","American Crow","Corneille d'Amérique"
"11","Brown Creeper","Grimpereau brun"
"12","Black-capped Chickadee","Mésange à tête noire"
"13","Baltimore Oriole","Oriole de Baltimore"
"14","American Robin","Merle d'Amérique"
"15","Northern Cardinal","Cardinal rouge"
"16","Eastern Wood-Pewee","Pioui de l'est"
"17","Canada Goose","Bernache du Canada"
"18","Chimney Swift","Martinet ramoneur"
"19","Chipping Sparrow","Bruant familier"
"20","American Redstart","Paruline flamboyante"
"21","American Goldfinch","Chardonneret jaune"
"22","Brown-headed Cowbird","Vacher à tête brune"
"23","Merlin","Faucon émerillon"
"24","Chestnut-sided Warbler","Paruline à flancs marron"
"25","Canada Warbler","Paruline du Canada"
"26","Song Sparrow","Bruant chanteur"
"27","Magnolia Warbler","Paruline à tête cendrée"
"28","Eastern Kingbird","Tyran tritri"
"29","Common Grackle","Quiscale bronzé"
"30","White-breasted Nuthatch","Sittelle à poitrine blanche"
"31","Indigo Bunting","Passerin indigo"
"32","Downy Woodpecker","Pic mineur"
"33","Northern Flicker","Pic flamboyant"
