"","species_common_name","FR_common"
"1","Gray Catbird","Moqueur chat"
"2","Song Sparrow","Bruant chanteur"
"3","Warbling Vireo","Viréo mélodieux"
"4","Baltimore Oriole","Oriole de Baltimore"
"5","Canada Goose","Bernache du Canada"
"6","Chimney Swift","Martinet ramoneur"
"7","Ring-billed Gull","Goéland à bec cerclé"
"8","House Sparrow","Moineau domestique"
"9","Chipping Sparrow","Bruant familier"
"10","Yellow Warbler","Paruline jaune"
"11","American Redstart","Paruline flamboyante"
"12","Great Crested Flycatcher","Tyran huppé"
"13","Downy Woodpecker","Pic mineur"
"14","American Crow","Corneille d'Amérique"
"15","Northern Flicker","Pic flamboyant"
"16","European Starling","Étourneau sansonnet"
"17","American Robin","Merle d'Amérique"
"18","Red-winged Blackbird","Carouge à épaulettes"
"19","Red-eyed Vireo","Viréo aux yeux rouges"
"20","Blue Jay","Geai bleu"
"21","American Goldfinch","Chardonneret jaune"
"22","Northern Cardinal","Cardinal rouge"
"23","Northern Rough-winged Swallow","Hirondelle à ailes hérissées"
"24","Eastern Wood-Pewee","Pioui de l'est"
"25","Magnolia Warbler","Paruline à tête cendrée"
"26","White-breasted Nuthatch","Sittelle à poitrine blanche"
"27","Black-capped Chickadee","Mésange à tête noire"
"28","Common Grackle","Quiscale bronzé"
"29","Philadelphia Vireo","Viréo de Philadelphie"
"30","Hairy Woodpecker","Pic chevelu"
"31","Cedar Waxwing","Jaseur d'Amérique"
"32","Common Tern","Sterne pierregarin"
"33","Wood Thrush","Grive des bois"
"34","Brown-headed Cowbird","Vacher à tête brune"
"35","Ovenbird","Paruline couronnée"
