"","species_common_name","FR_common"
"1","Brown Thrasher","Moqueur roux"
"2","Common Yellowthroat","Paruline masquée"
"3","Red-winged Blackbird","Carouge à épaulettes"
"4","Yellow Warbler","Paruline jaune"
"5","Chipping Sparrow","Bruant familier"
"6","Ring-billed Gull","Goéland à bec cerclé"
"7","American Robin","Merle d'Amérique"
"8","Warbling Vireo","Viréo mélodieux"
"9","European Starling","Étourneau sansonnet"
"10","Chimney Swift","Martinet ramoneur"
"11","American Crow","Corneille d'Amérique"
"12","American Goldfinch","Chardonneret jaune"
"13","Great Crested Flycatcher","Tyran huppé"
"14","Gray Catbird","Moqueur chat"
"15","Northern Cardinal","Cardinal rouge"
"16","Song Sparrow","Bruant chanteur"
"17","House Sparrow","Moineau domestique"
"18","American Redstart","Paruline flamboyante"
"19","Chestnut-sided Warbler","Paruline à flancs marron"
"20","Cedar Waxwing","Jaseur d'Amérique"
"21","Common Grackle","Quiscale bronzé"
"22","Red-eyed Vireo","Viréo aux yeux rouges"
"23","Blue Jay","Geai bleu"
"24","American Kestrel","Crécerelle d'Amérique"
"25","Baltimore Oriole","Oriole de Baltimore"
"26","Black-capped Chickadee","Mésange à tête noire"
"27","Downy Woodpecker","Pic mineur"
"28","House Finch","Roselin familier"
"29","Tennessee Warbler","Paruline obscure"
