"","species_common_name","FR_common"
"1","American Redstart","Paruline flamboyante"
"2","European Starling","Étourneau sansonnet"
"3","Yellow Warbler","Paruline jaune"
"4","Northern Cardinal","Cardinal rouge"
"5","American Goldfinch","Chardonneret jaune"
"6","Ring-billed Gull","Goéland à bec cerclé"
"7","Cedar Waxwing","Jaseur d'Amérique"
"8","Red-eyed Vireo","Viréo aux yeux rouges"
"9","Warbling Vireo","Viréo mélodieux"
"10","Chimney Swift","Martinet ramoneur"
"11","American Robin","Merle d'Amérique"
"12","Blue Jay","Geai bleu"
"13","Great Crested Flycatcher","Tyran huppé"
"14","Chestnut-sided Warbler","Paruline à flancs marron"
"15","Chipping Sparrow","Bruant familier"
"16","Common Raven","Grand corbeau"
"17","Magnolia Warbler","Paruline à tête cendrée"
"18","Blue-headed Vireo","Viréo à tête bleue"
"19","Gray Catbird","Moqueur chat"
"20","Northern Flicker","Pic flamboyant"
"21","Song Sparrow","Bruant chanteur"
"22","Downy Woodpecker","Pic mineur"
"23","Red-shouldered Hawk","Buse à épaulettes"
"24","Northern House Wren","Troglodyte à gorge brune"
"25","American Crow","Corneille d'Amérique"
"26","Eastern Bluebird","Merlebleu de l'Est"
"27","Black-capped Chickadee","Mésange à tête noire"
